Id,Movie,Studio Dirty,Studio,Domestic Box Office,Opening Weekend Box Office,Max Theater Count
1,Toy Story 3,WaltDisney,Walt Disney,"$415,004,880 ","$110,307,189 ","4,028"
2,Alice in Wonderland,WaltDisney,Walt Disney,"$334,191,110 ","$116,101,023 ","3,739"
3,Iron Man 2,Paramount…,Paramount Pictures,"$312,433,331 ","$128,122,480 ","4,390"
4,The Twilight Saga: Eclipse,SummitEn…,Summit Entertainment,"$300,531,751 ","$64,832,191 ","4,468"
5,Harry Potter and the Deathly Hallows: Part I,WarnerBros.,Warner Bros.,"$296,131,568 ","$125,017,372 ","4,125"
6,Inception,WarnerBros.,Warner Bros.,"$292,576,195 ","$62,785,337 ","3,792"
7,Despicable Me,Universal,Universal Studio,"$251,513,985 ","$56,397,125 ","3,602"
8,Shrek Forever After,Paramount…,Paramount Pictures,"$238,736,787 ","$70,838,207 ","4,386"
9,How to Train Your Dragon,Paramount…,Paramount Pictures,"$217,581,232 ","$43,732,319 ","4,060"
10,Tangled,WaltDisney,Walt Disney,"$200,821,936 ","$48,767,052 ","3,603"
11,The Karate Kid,SonyPict…,Sony Pictures,"$176,591,618 ","$55,665,805 ","3,740"
12,Tron: Legacy,WaltDisney,Walt Disney,"$172,062,763 ","$44,026,211 ","3,451"
13,True Grit,Paramount…,Paramount Pictures,"$171,243,005 ","$24,830,443 ","3,464"
14,Clash of the Titans,WarnerBros.,Warner Bros.,"$163,214,888 ","$61,235,105 ","3,802"
15,Grown Ups,SonyPict…,Sony Pictures,"$162,001,186 ","$40,506,564 ","3,534"
16,Little Fockers,Universal,Universal Studio,"$148,438,600 ","$30,833,665 ","3,675"
17,Megamind,Paramount…,Paramount Pictures,"$148,415,853 ","$46,016,833 ","3,949"
18,The King's Speech,Weinstein…,Weinstein Co.,"$138,797,449 ","$355,450 ","2,584"
19,The Last Airbender,Paramount…,Paramount Pictures,"$131,772,187 ","$40,325,019 ","3,203"
20,Shutter Island,Paramount…,Paramount Pictures,"$128,012,934 ","$41,062,440 ","3,356"
21,The Other Guys,SonyPict…,Sony Pictures,"$119,219,978 ","$35,543,162 ","3,651"
22,Salt,SonyPict…,Sony Pictures,"$118,311,368 ","$36,011,243 ","3,612"
23,Jackass 3D,Paramount…,Paramount Pictures,"$117,229,692 ","$50,353,641 ","3,139"
24,Valentines Day,WarnerBros.,Warner Bros.,"$110,485,654 ","$56,260,707 ","3,665"
25,Black Swan,FoxSearc…,Fox Searchlight,"$106,954,678 ","$1,443,809 ","2,407"
26,Robin Hood,Universal,Universal Studio,"$105,487,148 ","$36,063,385 ","3,505"
27,The Chronicles of Narnia: The Voyage of the Daw…,20thCent…,20th Century,"$104,386,950 ","$24,005,069 ","3,555"
28,The Expendables,Lionsgate,Lionsgate,"$103,068,524 ","$34,825,135 ","3,398"
29,Due Date,WarnerBros.,Warner Bros.,"$100,539,043 ","$32,689,406 ","3,365"
30,Yogi Bear,WarnerBros.,Warner Bros.,"$100,246,011 ","$16,411,322 ","3,515"
31,Date Night,20thCent…,20th Century,"$98,711,404 ","$25,207,599 ","3,380"
32,The Social Network,SonyPict…,Sony Pictures,"$96,962,694 ","$22,445,653 ","2,921"
33,Sex and the City 2,WarnerBros.,Warner Bros.,"$95,347,692 ","$31,001,870 ","3,445"
34,The Book of Eli,WarnerBros.,Warner Bros.,"$94,835,059 ","$32,789,494 ","3,111"
35,The Fighter,Paramount…,Paramount Pictures,"$93,617,009 ","$300,010 ","2,534"
36,The Town,WarnerBros.,Warner Bros.,"$92,186,262 ","$23,808,032 ","2,935"
37,Prince of Persia: Sands of Time,WaltDisney,Walt Disney,"$90,759,676 ","$30,095,259 ","3,646"
38,Red,SummitEn…,Summit Entertainment,"$90,380,162 ","$21,761,408 ","3,349"
39,Percy Jackson & the Olympians: The Lightning Thief,20thCent…,20th Century,"$88,768,303 ","$31,236,067 ","3,396"
40,Paranormal Activity 2,Paramount…,Paramount Pictures,"$84,752,907 ","$40,678,424 ","3,239"
41,Unstoppable,20thCent…,20th Century,"$81,562,942 ","$22,688,457 ","3,261"
42,Eat Pray Love,SonyPict…,Sony Pictures,"$80,574,010 ","$23,104,523 ","3,108"
43,Dear John,SonyPict…,Sony Pictures,"$80,014,842 ","$30,468,614 ","3,062"
44,The A-Team,20thCent…,20th Century,"$77,222,099 ","$25,669,455 ","3,544"
45,Knight and Day,20thCent…,20th Century,"$76,423,035 ","$20,139,985 ","3,104"
46,Dinner for Schmucks,Paramount…,Paramount Pictures,"$73,026,337 ","$23,527,839 ","3,046"
47,The Tourist,SonyPict…,Sony Pictures,"$67,631,157 ","$16,472,458 ","2,756"
48,The Bounty Hunter,SonyPict…,Sony Pictures,"$67,061,228 ","$20,686,423 ","3,118"
49,Diary of a Wimpy Kid,20thCent…,20th Century,"$64,003,625 ","$22,126,166 ","3,083"
50,The Sorcerers Apprentice,WaltDisney,Walt Disney,"$63,150,991 ","$17,619,622 ","3,504"
51,A Nightmare on Elm Street,WarnerBros.,Warner Bros.,"$63,075,011 ","$32,902,299 ","3,332"
52,The Last Song,WaltDisney,Walt Disney,"$62,950,384 ","$16,007,426 ","2,794"
53,The Wolfman,Universal,Universal Studio,"$62,189,884 ","$31,479,235 ","3,223"
54,Get Him to the Greek,Universal,Universal Studio,"$61,153,526 ","$17,570,955 ","2,702"
55,Resident Evil: Afterlife,SonyPict…,Sony Pictures,"$60,128,566 ","$26,650,264 ","3,209"
56,Why Did I Get Married Too?,Lionsgate,Lionsgate,"$60,095,852 ","$29,289,537 ","2,155"
57,Tooth Fairy,20thCent…,20th Century,"$60,022,256 ","$14,010,409 ","3,345"
58,Secretariat,WaltDisney,Walt Disney,"$59,699,513 ","$12,694,770 ","3,108"
59,Easy A,SonyPict…,Sony Pictures,"$58,401,464 ","$17,734,040 ","2,974"
60,Takers,SonyPict…,Sony Pictures,"$57,744,720 ","$20,512,304 ","2,206"
61,Legend of the Guardians: The Owls of GaHoole,WarnerBros.,Warner Bros.,"$55,675,313 ","$16,112,211 ","3,575"
62,Life as We Know It,WarnerBros.,Warner Bros.,"$53,374,681 ","$14,506,464 ","3,150"
63,Letters to Juliet,SummitEn…,Summit Entertainment,"$53,032,453 ","$13,540,486 ","2,975"
64,Hubble 3D,WarnerBros.,Warner Bros.,"$52,509,100 ","$413,477 ",151
65,Wall Street 2: Money Never Sleeps,20thCent…,20th Century,"$52,474,616 ","$19,011,188 ","3,597"
66,Predators,20thCent…,20th Century,"$52,000,688 ","$24,760,882 ","2,669"
